,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
WASH7P,63.23067138424918,-0.09306049508743763,0.28742970473089124,-0.32376784151299326,0.7461138046172673,0.9999058266833402,True
MIR6859-1,11.891070400290243,1.0216652295534039,0.595536109552848,1.71553867710979,0.08624651058189621,0.9999058266833402,True
AL627309.7,31.10528469098176,-0.13986061491972268,0.3357771371435202,-0.4165281058428421,0.6770236053879984,0.9999058266833402,True
AL627309.5,11.665216608671438,0.4899420171691883,0.5411783861347094,0.905324435937899,0.36529353454163704,0.9999058266833402,True
WASH9P,85.70053957823231,-0.06478613901952049,0.22354839875242094,-0.28980811037376697,0.7719630428420012,0.9999058266833402,True
AP006222.1,13.23595689694223,-0.11261806085756583,0.552195887921071,-0.20394585204456117,0.8383958132650031,0.9999058266833402,True
AL732372.2,46.516102049785395,0.06528656097262833,0.27704833031518844,0.2356504401176287,0.8137039299003097,0.9999058266833402,True
AL669831.3,16.621327854734787,0.19540693834420791,0.4638428869599562,0.42127829020923957,0.6735518811858634,0.9999058266833402,True
MTND2P28,913.03471179392,-0.16010115652591347,0.12474503619488402,-1.2834270718058396,0.19934249443785523,0.9999058266833402,True
MTCO1P12,802.5430522760947,-0.10060700565053346,0.18350015372654302,-0.5482666014572434,0.5835088566564135,0.9999058266833402,True
MTCO2P12,25.213971094021705,-0.42286009962820253,0.41516106039967665,-1.018544704604796,0.30841916709328665,0.9999058266833402,True
MTATP6P1,6621.0118471040205,-0.24233675811460592,0.10900658429481057,-2.2231387184759512,0.026206447540172737,0.9999058266833402,True
MTCO3P12,48.1830588636518,-0.8250489388125114,0.3709733185007512,-2.2240115330850694,0.0261476682975971,0.9999058266833402,True
AL669831.1,211.21255831366247,0.16093382629180292,0.14625587374774465,1.1003580380598874,0.2711761538698686,0.9999058266833402,True
LINC01409,47.305424108409404,0.1187749713252893,0.2691085239408871,0.4413645825331778,0.6589490784014985,0.9999058266833402,True
AL669831.4,20.455522639422245,-0.04524058360140321,0.47661198049249004,-0.09492120520062351,0.9243774132518143,0.9999058266833402,True
LINC01128,226.43988589574516,0.020017165114976584,0.147544924893117,0.13566827276151464,0.8920835304400996,0.9999058266833402,True
LINC00115,39.70984182954772,-0.2264160328279745,0.3008685810492358,-0.7525412990561569,0.4517256035328878,0.9999058266833402,True
AL669831.7,36.01000689546757,0.04798837496427518,0.3078303883707664,0.15589226007952006,0.8761179462819483,0.9999058266833402,True
AL645608.6,13.516059966256664,0.4584805481957817,0.5171320145062387,0.8865831844380049,0.375303350448,0.9999058266833402,True
AL645608.2,38.464936009919235,-0.18514998838549054,0.32387094147810386,-0.5716782973504527,0.5675399400474602,0.9999058266833402,True
LINC02593,8.954120217228809,0.29864723333340754,0.6356198480133783,0.469851963035493,0.6384607863498226,0.9999058266833402,True
