,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
AL627309.6,24.267230072207987,0.05597504235350494,0.7022221447843842,0.07971130328094675,0.9364668693440799,0.998741629504845,True
AL627309.7,17.001003597065058,-0.15480221229744717,1.4218421839402409,-0.10887439833052062,0.9133021130842142,0.998545223100693,True
WASH9P,25.352244092347725,0.0842774199459646,0.7374249171860723,0.11428610287208281,0.9090109986171936,0.9982725168834793,True
AP006222.1,10.207273314064123,0.16475147023319744,1.5095288949654453,0.1091409848348539,0.9130906678360435,,True
U6,18.923030614669255,1.082307614787355,1.0435046154467111,1.03718526853284,0.2996495222178528,0.9280397373106434,True
MTND2P28,1898.9006175222453,0.39050314241438366,0.2290466615100522,1.7049065017577023,0.08821186358602544,0.7467008306449804,True
MTCO1P12,1690.1368590568538,-1.1535859874429775,0.8515676212863169,-1.35466163650099,0.17552538597481793,0.8738957419888063,True
MTATP6P1,17560.06979932713,0.29349863948624144,0.17953778565221948,1.6347457913665828,0.10210234884569523,0.7742579570227004,True
MTCO3P12,17.30914949868982,0.0451063500153375,0.7556780059339236,0.05968990715773405,0.9524026103242949,0.998741629504845,True
AL669831.1,57.12404031106294,-0.714085547946092,0.8693175706097886,-0.8214323189685352,0.41140006080243363,0.9487638897178379,True
LINC01409,85.31914878273588,0.6341424639230308,0.4980281879941055,1.2733063694188655,0.20290934740491473,0.8919754666402704,True
AL669831.4,10.142998790778893,-0.6934383643293587,1.083623690996295,-0.6399254372999211,0.5222210755825218,,True
FAM87B,10.3787538246228,0.8233335342049527,1.4373722434490321,0.5728046704375834,0.5667769564404347,,True
LINC01128,269.6798197472848,0.32080120903438947,0.4103984887267681,0.7816822377432534,0.43440134292714383,0.9541486396480348,True
LINC00115,22.530103811581096,0.087680881511248,0.9634941512545714,0.09100302414610219,0.9274901881084293,0.998545223100693,True
AL669831.7,145.36850824401796,0.8730307339690628,0.5590777273354997,1.5615552029407918,0.11839280965136416,0.802415729664547,True
AL645608.6,9.512393473437804,0.7932497889182101,1.561286562894171,0.5080744353860036,0.6114011428636992,,True
AL645608.2,52.65973824045702,-0.7057202253041616,0.6395828474591171,-1.1034070536878682,0.2698504348729377,0.917360340780176,True
LINC02593,58.89161156564265,-0.23792211537610933,0.5095733424688667,-0.4669045563164357,0.6405681653033121,0.9750712074350555,True
SAMD11,11.763652302039516,-0.4941054465625504,1.1693677617942826,-0.42254067771151227,0.6726304161474586,,True
NOC2L,3173.232127269436,-0.3680176332234923,0.32371180553365586,-1.1368681244627332,0.25559341917257317,0.9144220944181692,True
KLHL17,178.9793333485653,0.9011731092763824,0.4686780506348584,1.9227977671573866,0.054505452630326946,0.6751139757710258,True
ISG15,1204.744818351789,0.8428132754815332,0.3345435391081857,2.51929323677353,0.011759068053592602,0.3913144278922551,True
AGRN,102.19421239948915,0.07047004048022791,0.8330849156570919,0.0845892647385711,0.9325879339751837,0.998545223100693,True
AL390719.1,33.374039634713014,2.0678512985966964,1.0992979926775168,1.8810652910955583,0.05996303776933641,0.6927433408040151,True
C1orf159,579.852827993045,0.3508198012677563,0.5326416095428808,0.6586413734534069,0.5101260882536869,0.9646932866213356,True
AL390719.3,14.79854080441323,2.1693677129794233,1.0887482912506405,1.9925337476190021,0.04631252620484252,0.650640814627175,True
TTLL10-AS1,9.151640638386306,-5.728274767279178,2.687207975207431,-2.1316827056666505,0.033032939496516985,,True
TTLL10,51.03868318122943,-0.5455606200353457,0.7913294342596789,-0.6894228830824927,0.49055718725623343,0.96124465912435,True
TNFRSF18,426.04461664495466,-0.08604010552471801,0.3453683424455515,-0.24912562893132723,0.803263605286723,0.9900233799854135,True
TNFRSF4,110.80581432814594,-0.6031942919426124,1.0918499889273319,-0.552451617035056,0.5806389744372827,0.9713093925864457,True
