,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
AL627309.6,24.267230072207987,0.4469126059245661,0.6940568249395224,0.6439135671110338,0.5196314835780755,0.9999041993939802,True
AL627309.7,17.001003597065058,0.2057381032661441,1.416098099476556,0.14528520541210585,0.8844856951590478,0.9999041993939802,True
WASH9P,25.352244092347725,0.16607954764876126,0.7337581558954746,0.2263409903036494,0.8209362198294317,0.9999041993939802,True
AP006222.1,10.207273314064123,-0.37429333518104596,1.5148563660771333,-0.2470817323429248,0.8048449709920364,,True
U6,18.923030614669255,0.5717689594592863,1.0466598938796274,0.5462796107911663,0.5848737494305982,0.9999041993939802,True
MTND2P28,1898.9006175222453,0.4471843157809141,0.2289099538766677,1.9535380974382985,0.050755867553281445,0.9999041993939802,True
MTCO1P12,1690.1368590568538,-0.825054611249996,0.8514461539239859,-0.9690038617799123,0.3325432623896988,0.9999041993939802,True
MTATP6P1,17560.06979932713,0.22793217647793704,0.17952716707086727,1.269624983209155,0.20421824582297043,0.9999041993939802,True
MTCO3P12,17.30914949868982,-0.3516853449824934,0.7592798355910279,-0.46318277991504864,0.6432333582891776,0.9999041993939802,True
AL669831.1,57.12404031106294,-0.191136202260054,0.865222552255956,-0.2209098708322975,0.8251626114745148,0.9999041993939802,True
LINC01409,85.31914878273588,0.31615627113351796,0.4985801476279591,0.6341132366333888,0.526006924947026,0.9999041993939802,True
AL669831.4,10.142998790778893,-0.8217717269322503,1.0814510255133616,-0.759878817944768,0.44732702415550807,,True
FAM87B,10.3787538246228,0.6583443948823255,1.436725746114732,0.45822551496877845,0.6467904307053525,,True
LINC01128,269.6798197472848,0.6518456334900754,0.4093168877628699,1.5925207412104383,0.11126774650217344,0.9999041993939802,True
LINC00115,22.530103811581096,-0.18757732445657355,0.9642179497953307,-0.19453830381024284,0.8457544064714991,0.9999041993939802,True
AL669831.7,145.36850824401796,0.25628434866153693,0.560168686919286,0.45751280756338425,0.6473024987476292,0.9999041993939802,True
AL645608.6,9.512393473437804,-0.3254350950528674,1.5762013705331477,-0.20646796858372826,0.8364253830523729,,True
AL645608.2,52.65973824045702,-1.3906711936161613,0.6442431556772494,-2.158612290035495,0.03088025847911222,0.9419802985415552,True
LINC02593,58.89161156564265,0.47852247987635116,0.5020109435520946,0.9532112517118742,0.3404830466232399,0.9999041993939802,True
SAMD11,11.763652302039516,-0.446304243288204,1.1642460909778254,-0.3833418439166608,0.7014663175368123,0.9999041993939802,True
NOC2L,3173.232127269436,0.0022077858660531457,0.323567188816134,0.00682326868225107,0.9945558615080435,0.9999041993939802,True
KLHL17,178.9793333485653,0.13252780182297735,0.47016053789921763,0.28187776544399323,0.7780372391164657,0.9999041993939802,True
