Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Myc Targets V1,-0.3412101420249559,-1.3552437529146775,0.011904761904761904,1.0,0.465,112/200,40.31%,NDUFAB1;HSPE1;GSPT1;AIMP2;TXNL4A;IFRD1;ERH;USP1;PSMA1;PSMC6;MRPL9;HPRT1;GOT2;COX5A;UBA2;GLO1;PSMA4;VDAC1;SYNCRIP;HDAC2;SRSF2;YWHAQ;XPOT;CNBP;CBX3;EIF2S1;RRP9;ORC2;RANBP1;PCNA;DEK;ETF1;KPNA2;AP3S1;TCP1;UBE2L3;RFC4;RPL34;SNRPB2;EIF4G2;EIF1AX;MCM6;PRDX4;XPO1;EIF4E;BUB3;TYMS;PA2G4;IARS1;HSPD1;VBP1;SNRPD3;SSB;GNL3;YWHAE;CCNA2;CUL1;NPM1;ABCE1;PSMD1;CCT5;LDHA;SNRPG;SLC25A3;UBE2E1;PTGES3;DHX15;KARS1;EIF2S2;PHB;RPS6;CDC45;NAP1L1;SRPK1;STARD7;CCT4;MYC;RPL14;RAN;LSM2;EXOSC7;RPL6;SNRPA;ILF2;CLNS1A;PPIA;HNRNPD;DDX21;SRSF3;RSL1D1;C1QBP;SERBP1;CTPS1;RAD23B;TRA2B;PSMA7;PRPS2;TOMM70;KPNB1;COPS5;EEF1B2;ODC1;RPS2;NOP56;RNPS1;CDC20;HSP90AB1;SSBP1;HDDC2;NME1;G3BP1;CCT2
prerank,Notch Signaling,-0.46327813455457684,-1.3295865559485915,0.11337868480725624,0.7265089542339156,0.547,10/30,18.73%,HEYL;FZD1;NOTCH3;HES1;PSEN2;JAG1;TCF7L2;ST3GAL6;FZD5;FZD7
prerank,Epithelial Mesenchymal Transition,-0.34500307879935743,-1.273132830685937,0.04838709677419355,0.7504974574397525,0.708,21/132,11.16%,SLC6A8;OXTR;SERPINE1;CCN2;COL16A1;MATN2;TGM2;PFN2;RHOB;ITGA2;SPP1;MAGEE1;GEM;CRLF1;COL1A2;SGCB;SERPINE2;TNFRSF12A;FBLN5;CXCL8;ID2
prerank,E2F Targets,-0.31692677331647146,-1.2580025104547374,0.03067484662576687,0.6275563785098386,0.744,88/200,33.87%,SPC25;PRIM2;TRIP13;AURKA;GSPT1;CENPE;HELLS;DONSON;ASF1A;DSCC1;RPA3;HMMR;USP1;DIAPH3;BARD1;PTTG1;PSMC3IP;BRCA2;CDCA8;POP7;UNG;DLGAP5;ATAD2;CTCF;SLBP;CSE1L;SYNCRIP;RBBP7;ASF1B;SMC3;RAD51C;SMC1A;MTHFD2;SRSF2;RRM2;TCF19;DCTPP1;UBE2T;EIF2S1;ORC2;RANBP1;PCNA;CCNB2;DEK;RFC1;MSH2;NUP153;SMC4;KPNA2;PLK4;SMC6;MCM6;PRDX4;XPO1;BIRC5;PRKDC;TFRC;STMN1;MMS22L;DCLRE1B;CKS2;PA2G4;POLD3;BUB1B;TOP2A;NUDT21;GINS4;CDKN3;JPT1;CDK1;RACGAP1;EED;PAICS;WEE1;PRPS1;CNOT9;SUV39H1;MKI67;MELK;RAD21;HUS1;NUP205;MCM3;NAP1L1;CHEK2;RAD51AP1;MYC;EXOSC8
prerank,Spermatogenesis,-0.3683806884738849,-1.246216534031833,0.09948979591836735,0.5476232588989609,0.77,28/77,24.88%,POMC;ADCYAP1;YBX2;TEKT2;RPL39L;MLF1;DBF4;GSTM3;ARL4A;TTK;GMCL1;AURKA;GAD1;SIRT1;DPEP3;SLC2A5;AGFG1;CCT6B;CLGN;ACE;MLLT10;IDE;LPIN1;CCNB2;CLPB;TSN;RFC4;SPATA6
prerank,G2-M Checkpoint,-0.30393206511673326,-1.1842973222041342,0.11019283746556474,0.7319349251971405,0.894,75/197,34.19%,EGF;CENPA;DBF4;HIRA;TTK;PRIM2;DMD;STIL;AURKA;GSPT1;PBK;CENPE;CASP8AP2;HMMR;BARD1;POLQ;PTTG1;BRCA2;CTCF;DKC1;CDC27;SYNCRIP;MARCKS;SMC1A;CDC6;RPS6KA5;SRSF2;SQLE;PRC1;MTF2;CCNB2;SMC4;KPNA2;E2F3;KIF11;PLK4;MCM6;CUL3;XPO1;BIRC5;SMC2;FBXO5;STMN1;BUB3;CKS2;TENT4A;KIF20B;TOP2A;FANCC;MEIS1;CDKN3;BUB1;MAPK14;JPT1;CDK1;MEIS2;TRAIP;RACGAP1;CDC7;CCNA2;CENPF;UBE2C;CCNT1;CUL1;TPX2;SUV39H1;MKI67;CCND1;RAD21;HUS1;MCM3;CDC45;MYC;ABL1;E2F2
prerank,Unfolded Protein Response,-0.3044906334153216,-1.1138923024940672,0.23306233062330622,1.0,0.971,46/111,31.81%,KDELR3;CEBPB;POP4;EIF2AK3;EXOSC4;EIF4EBP1;DNAJC3;PAIP1;SPCS1;CNOT4;CNOT6;NFYA;SDAD1;PSAT1;EXOSC5;DKC1;SLC30A5;PREB;SPCS3;MTHFD2;HSPA5;XPOT;CNOT2;HERPUD1;NFYB;EIF2S1;RRP9;SERP1;ATF4;BAG3;SRPRB;ERO1A;EIF4E;LSM1;SEC11A;IARS1;EXOSC9;HSPA9;HSP90B1;CEBPG;DNAJA4;XBP1;NPM1;EXOSC2;EXOSC10;CCL2
prerank,Estrogen Response Early,0.3152616618892242,1.1133032735954302,0.24110032362459546,1.0,1.0,38/147,20.04%,IL17RB;GREB1;ANXA9;RET;SLC7A2;MYBL1;TPD52L1;PRSS23;WWC1;ADCY9;SEMA3B;SCNN1A;TBC1D30;AREG;ABAT;P2RY2;KRT15;MINDY1;RASGRP1;OPN3;ZNF185;KAZN;MPPED2;RETREG1;SEC14L2;SLC24A3;PMAIP1;BLVRB;FCMR;PODXL;SCARB1;SVIL;LRIG1;SLC19A2;NCOR2;GAB2;SLC39A6;IGFBP4
prerank,Hedgehog Signaling,0.41664204779298364,1.1092416528264222,0.33205374280230326,1.0,1.0,13/25,32.66%,GLI1;NRP1;NRP2;TLE1;CDK5R1;OPHN1;MYH9;THY1;LDB1;AMOT;SCG2;VEGFA;ADGRG1
prerank,Myc Targets V2,-0.34016008817797233,-1.1013525608255281,0.29528535980148884,0.9471175105018793,0.979,28/58,33.83%,DUSP2;NDUFAF4;HSPE1;AIMP2;WDR43;UTP20;HK2;UNG;EXOSC5;TFB2M;TMEM97;CBX3;DCTPP1;RRP9;SUPV3L1;NIP7;PLK4;PA2G4;BYSL;HSPD1;GRWD1;IPO4;GNL3;NPM1;RCL1;PHB;MYC;WDR74
